BB_3lap,Dan,1'43"37(2'04"29)
BC_3lap,Abney,not available
CM_3lap,mkmf_,1'36"50(1'56"03)
CM_sc3lap,Smurfy,16"74(20"13)
DK_3lap,Dossey,1'52"21(2'14"92)
DK_sc3lap,Michael Fried,25"20(30"30)
FS_3lap,Matthias,1'39"76(1'59"95)
KD_3lap,Dan,1'43"66(2'04"64)
KD_sc3lap,Theftz22,not available
KTB_3lap,Dan,1'19"42(1'35"49)
LR_3lap,Dan,1'38"13(1'57"99)
LR_sc3lap,Smurfy,1'18"50(1'34"39)
MMF_3lap,Abney,1'11"81(1'26"34)
MR_3lap,Dan,1'12"90(1'27"65)
MR_sc3lap,Smurfy,50"73(1'01"00)
RRd_3lap,Ridley,4'58'15(5'58"49)
RRd_sc3lap,Smurfy,3'18"46(3'58"39)
RRy_3lap,Dan,2'22"84(2'51"75)
TT_3lap,Matthias,2'28"14(2'58"12)
TT_sc3lap,Smurfy,not available
WS_3lap,Matthias,3'36"63(4'20"48)
WS_sc3lap,Ben Miller,14"11(16"96)
SL_3lap,Dan,1'35"92(1'55"34)
YV_3lap,Syrup,1'25"05(1'42"26)
